,0
0,Delaware
1,Georgia
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kansas
7,Massachusetts
8,Minnesota
9,Mississippi
10,Missouri
11,Nebraska
12,Oklahoma
13,Pennsylvania
14,Rhode Island
15,Vermont
16,Wisconsin
